city,population,lat,lon,region_name,region_name_ao,region_iso_code,federal_district,okato,oktmo,kladr_id,fias_id
Жуковка,16.4,53.5340397,33.7302579,Брянская область,,RU-BRY,Центральный,15222501000,15502000001,3200800100000,bd51e883-748a-4c55-ac0a-eee31be1433e
Злынка,5.3,52.4267015,31.7360399,Брянская область,,RU-BRY,Центральный,15223501000,15623101001,3200900100000,9491aba8-fbc1-4da8-8ede-8d49690c393a
Карачев,17.2,53.1296524,34.9888727,Брянская область,,RU-BRY,Центральный,15224501000,15624101001,3201000100000,6f39b866-1fed-4add-aa00-e76992516660
Клинцы,63.0,52.7529119,32.233911,Брянская область,,RU-BRY,Центральный,15415000000,15715000001,3200000300000,59cb1f1f-16f9-47eb-9487-14a6c00e8621
Мглин,7.1,53.0599771,32.8468129,Брянская область,,RU-BRY,Центральный,15236501000,15636101001,3201600100000,a4162075-13cb-4f4a-9974-ef042c8be149
Новозыбков,39.5,52.537173,31.9357991,Брянская область,,RU-BRY,Центральный,15420000000,15720000001,3200000400000,cf4dd9d7-d152-4140-bed2-59d8be5a4e2c
Почеп,16.4,52.9154851,33.4744058,Брянская область,,RU-BRY,Центральный,15244501000,15644101001,3202000100000,434c6101-648e-4266-8aca-bbbc80856d7a
Севск,6.6,52.1483358,34.4918415,Брянская область,,RU-BRY,Центральный,15248501000,15648101001,3202200100000,263c5f6f-335b-4cfa-a234-3c61488c3729
Сельцо,16.4,53.3739884,34.1059172,Брянская область,,RU-BRY,Центральный,15425000000,15725000001,3200000200000,485f4c4d-aced-4b94-b975-88e72b7dcb72
Стародуб,18.2,52.5852257,32.760403,Брянская область,,RU-BRY,Центральный,15250501000,15501000001,3200000600000,78e19000-cb0d-4e86-8205-242ee9de9e75
Сураж,10.7,53.0170888,32.3938878,Брянская область,,RU-BRY,Центральный,15254501000,15654101001,3202500100000,565317d8-daf3-4df1-bf3d-6703b0d1500f
Трубчевск,13.6,52.5791734,33.7660547,Брянская область,,RU-BRY,Центральный,15256501000,15656101001,3202600100000,7c080d22-1f3c-43b0-ba63-1e7de99724c9
Унеча,22.8,52.8461199,32.6757629,Брянская область,,RU-BRY,Центральный,15258501000,15658101001,3202700100000,6a2d5db9-1871-4f1d-b226-bbc6b8400a44
Фокино,12.8,53.4554145,34.4159238,Брянская область,,RU-BRY,Центральный,15216504000,15710000001,3200000500000,8d7c89e7-d9b9-4d7a-907c-a654b3a4d23d
Александров,57.9,56.391819,38.7111123,Владимирская область,,RU-VLA,Центральный,17205501000,17605101001,3300200100000,59e55956-69a2-432f-b880-74cf8ec0b9fe
Владимир,356.9,56.1280804,40.4084376,Владимирская область,,RU-VLA,Центральный,17401000000,17701000001,3300000100000,f66a00e6-179e-4de9-8ecb-78b0277c9f10
Вязники,34.5,56.29773,42.2687398,Владимирская область,,RU-VLA,Центральный,17210501000,17610101001,3300300100000,0114e0c6-4060-4473-bc44-779e5a85e9dd
Гороховец,12.6,56.2021036,42.6926111,Владимирская область,,RU-VLA,Центральный,17215501000,17615101001,3300400100000,e3bc9262-6bcf-42f8-a0bd-a8a00def58bc
Гусь-Хрустальный,52.8,55.6198751,40.6579929,Владимирская область,,RU-VLA,Центральный,17420000000,17720000001,3300000300000,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6
Камешково,12.0,56.3490152,40.9955183,Владимирская область,,RU-VLA,Центральный,17225501000,17625101001,3300600100000,13cf312e-735f-4faa-8a7d-9a2622d50438
Карабаново,14.9,56.3131822,38.7034257,Владимирская область,,RU-VLA,Центральный,17205505000,17605105001,3300200200000,4f178a20-53a7-4032-b62b-7337315e0fc1
Киржач,26.7,56.1486863,38.8635701,Владимирская область,,RU-VLA,Центральный,17230501000,17630101001,3300700100000,115db243-1238-412f-a2a1-6d53ef30ba9e
