city,population,region_name,lat,lon,federal_district,region_iso_code,fias_id,kladr_id
Черепаново,19.1,Новосибирская область,,,,,,
Чулым,11.0,Новосибирская область,,,,,,
Исилькуль,22.4,Омская область,,,,,,
Калачинск,22.6,Омская область,,,,,,
Называевск,10.9,Омская область,,,,,,
Омск,1154.5,Омская область,,,,,,
Тара,28.2,Омская область,,,,,,
Тюкалинск,10.3,Омская область,,,,,,
Абдулино,18.6,Оренбургская область,,,,,,
Бугуруслан,48.5,Оренбургская область,,,,,,
Бузулук,86.1,Оренбургская область,,,,,,
Гай,33.8,Оренбургская область,,,,,,
Кувандык,23.3,Оренбургская область,,,,,,
Медногорск,24.6,Оренбургская область,,,,,,
Новотроицк,83.7,Оренбургская область,,,,,,
Оренбург,572.2,Оренбургская область,,,,,,
Орск,226.5,Оренбургская область,,,,,,
Соль-Илецк,26.9,Оренбургская область,,,,,,
Сорочинск,27.1,Оренбургская область,,,,,,
Ясный,15.3,Оренбургская область,,,,,,
Болхов,10.9,Орловская область,,,,,,
Дмитровск,5.0,Орловская область,,,,,,
Ливны,47.2,Орловская область,,,,,,
Малоархангельск,3.2,Орловская область,,,,,,
Мценск,36.6,Орловская область,,,,,,
Новосиль,3.1,Орловская область,,,,,,
Орел,308.8,Орловская область,,,,,,
Белинский,7.5,Пензенская область,,,,,,
Городище,7.7,Пензенская область,,,,,,
Заречный,65.5,Пензенская область,,,,,,
Каменка,34.6,Пензенская область,,,,,,
Кузнецк,80.5,Пензенская область,,,,,,
Нижний Ломов,20.5,Пензенская область,,,,,,
Никольск,19.6,Пензенская область,,,,,,
Пенза,520.3,Пензенская область,,,,,,
Сердобск,30.9,Пензенская область,,,,,,
Спасск,7.0,Пензенская область,,,,,,
Сурск,5.9,Пензенская область,,,,,,
Александровск,11.9,Пермский край,,,,,,
Березники,139.2,Пермский край,,,,,,
Верещагино,21.3,Пермский край,,,,,,
Горнозаводск,11.2,Пермский край,,,,,,
Гремячинск,8.2,Пермский край,,,,,,
Губаха,19.1,Пермский край,,,,,,
Добрянка,32.1,Пермский край,,,,,,
