,city,geo_lat,geo_lon,region,region_iso_code,federal_district,capital_marker,okato,oktmo,kladr_id,fias_id,unparsed_parts,query_city,query_region
44,Бирюч,50.6484585,38.4005083,Белгородская,RU-BEL,Центральный,1,14242501000,14642151001,3101200100000,eaaf5809-d1e2-4d93-8f05-85dd598cc403,,Бирюч,Белгородская область
45,Валуйки,50.2111207,38.0998772,Белгородская,RU-BEL,Центральный,1,14420000000,14720000001,3100400100000,fe7eea4a-875a-4235-aa61-81c2a37a0440,,Валуйки,Белгородская область
46,Грайворон,50.4862958,35.6663877,Белгородская,RU-BEL,Центральный,1,14232501000,14725000001,3100700100000,51c31ef5-10b3-4011-8e1c-7e7d452afd1b,,Грайворон,Белгородская область
47,Губкин,51.2837123,37.5347759,Белгородская,RU-BEL,Центральный,1,14430000000,14730000001,3100000400000,98b1ec30-6107-4f99-ae3a-9d82492f30a1,,Губкин,Белгородская область
48,Короча,50.8129041,37.1896436,Белгородская,RU-BEL,Центральный,1,14240501000,14640101001,3101000100000,76fecead-fc02-459a-bce4-848698e645fe,,Короча,Белгородская область
49,Новый Оскол,50.7633747,37.8775484,Белгородская,RU-BEL,Центральный,1,14244501000,14735000001,3101400100000,f565b329-4041-4fd2-aa0a-debd5f7c3857,,Новый Оскол,Белгородская область
50,Старый Оскол,51.2967101,37.8350182,Белгородская,RU-BEL,Центральный,1,14440000000,14740000001,3100000200000,9f5e86b1-b893-43dc-9dd4-ac66573b17d1,,Старый Оскол,Белгородская область
51,Строитель,50.7845099,36.4887648,Белгородская,RU-BEL,Центральный,1,14258501000,14755000001,3102100100000,19c9f6de-45cd-4c76-9839-abd571698ced,,Строитель,Белгородская область
52,Шебекино,50.4004883,36.8877889,Белгородская,RU-BEL,Центральный,1,14450000000,14750000001,3100000300000,dc80ddf0-b1ac-4344-98e8-fcfa5295a0a3,,Шебекино,Белгородская область
53,Брянск,53.2419535,34.3652146,Брянская,RU-BRY,Центральный,2,15401000000,15701000001,3200000100000,414b71cf-921e-4bfc-b6e0-f7395d16aaef,,Брянск,Брянская область
54,Дятьково,53.5958178,34.3551812,Брянская,RU-BRY,Центральный,1,15216501000,15616104001,3200600100000,fd37b6f0-2406-41ca-86bc-57dd58fd71f4,,Дятьково,Брянская область
55,Жуковка,53.5340397,33.7302579,Брянская,RU-BRY,Центральный,1,15222501000,15502000001,3200800100000,bd51e883-748a-4c55-ac0a-eee31be1433e,,Жуковка,Брянская область
56,Злынка,52.4267015,31.7360399,Брянская,RU-BRY,Центральный,1,15223501000,15623101001,3200900100000,9491aba8-fbc1-4da8-8ede-8d49690c393a,,Злынка,Брянская область
57,Карачев,53.1296524,34.9888727,Брянская,RU-BRY,Центральный,1,15224501000,15624101001,3201000100000,6f39b866-1fed-4add-aa00-e76992516660,,Карачев,Брянская область
58,Клинцы,52.7529119,32.233911,Брянская,RU-BRY,Центральный,0,15415000000,15715000001,3200000300000,59cb1f1f-16f9-47eb-9487-14a6c00e8621,,Клинцы,Брянская область
59,Мглин,53.0599771,32.8468129,Брянская,RU-BRY,Центральный,1,15236501000,15636101001,3201600100000,a4162075-13cb-4f4a-9974-ef042c8be149,,Мглин,Брянская область
60,Новозыбков,52.537173,31.9357991,Брянская,RU-BRY,Центральный,0,15420000000,15720000001,3200000400000,cf4dd9d7-d152-4140-bed2-59d8be5a4e2c,,Новозыбков,Брянская область
61,Почеп,52.9154851,33.4744058,Брянская,RU-BRY,Центральный,1,15244501000,15644101001,3202000100000,434c6101-648e-4266-8aca-bbbc80856d7a,,Почеп,Брянская область
62,Севск,52.1483358,34.4918415,Брянская,RU-BRY,Центральный,1,15248501000,15648101001,3202200100000,263c5f6f-335b-4cfa-a234-3c61488c3729,,Севск,Брянская область
63,Сельцо,53.3739884,34.1059172,Брянская,RU-BRY,Центральный,0,15425000000,15725000001,3200000200000,485f4c4d-aced-4b94-b975-88e72b7dcb72,,Сельцо,Брянская область
64,Стародуб,52.5852257,32.760403,Брянская,RU-BRY,Центральный,1,15250501000,15501000001,3200000600000,78e19000-cb0d-4e86-8205-242ee9de9e75,,Стародуб,Брянская область
65,Сураж,53.0170888,32.3938878,Брянская,RU-BRY,Центральный,1,15254501000,15654101001,3202500100000,565317d8-daf3-4df1-bf3d-6703b0d1500f,,Сураж,Брянская область
66,Трубчевск,52.5791734,33.7660547,Брянская,RU-BRY,Центральный,1,15256501000,15656101001,3202600100000,7c080d22-1f3c-43b0-ba63-1e7de99724c9,,Трубчевск,Брянская область
67,Унеча,52.8461199,32.6757629,Брянская,RU-BRY,Центральный,1,15258501000,15658101001,3202700100000,6a2d5db9-1871-4f1d-b226-bbc6b8400a44,,Унеча,Брянская область
68,Фокино,53.4554145,34.4159238,Брянская,RU-BRY,Центральный,0,15216504000,15710000001,3200000500000,8d7c89e7-d9b9-4d7a-907c-a654b3a4d23d,,Фокино,Брянская область
69,Александров,56.391819,38.7111123,Владимирская,RU-VLA,Центральный,1,17205501000,17605101001,3300200100000,59e55956-69a2-432f-b880-74cf8ec0b9fe,,Александров,Владимирская область
70,Владимир,56.1280804,40.4084376,Владимирская,RU-VLA,Центральный,2,17401000000,17701000001,3300000100000,f66a00e6-179e-4de9-8ecb-78b0277c9f10,,Владимир,Владимирская область
71,Вязники,56.29773,42.2687398,Владимирская,RU-VLA,Центральный,1,17210501000,17610101001,3300300100000,0114e0c6-4060-4473-bc44-779e5a85e9dd,,Вязники,Владимирская область
72,Гороховец,56.2021036,42.6926111,Владимирская,RU-VLA,Центральный,1,17215501000,17615101001,3300400100000,e3bc9262-6bcf-42f8-a0bd-a8a00def58bc,,Гороховец,Владимирская область
73,Гусь-Хрустальный,55.6198751,40.6579929,Владимирская,RU-VLA,Центральный,0,17420000000,17720000001,3300000300000,aa4aa0d7-f97f-4974-9291-c0a530a1ccb6,,Гусь-Хрустальный,Владимирская область
74,Камешково,56.3490152,40.9955183,Владимирская,RU-VLA,Центральный,1,17225501000,17625101001,3300600100000,13cf312e-735f-4faa-8a7d-9a2622d50438,,Камешково,Владимирская область
75,Карабаново,56.3131822,38.7034257,Владимирская,RU-VLA,Центральный,0,17205505000,17605105001,3300200200000,4f178a20-53a7-4032-b62b-7337315e0fc1,,Карабаново,Владимирская область
76,Киржач,56.1486863,38.8635701,Владимирская,RU-VLA,Центральный,1,17230501000,17630101001,3300700100000,115db243-1238-412f-a2a1-6d53ef30ba9e,,Киржач,Владимирская область
