,city,region_name,lat_x,lon_x,lat_y,lon_y,distance_km
107,Серафимович,Волгоградская область,49.5663183,42.7360402,49.580608,42.730164,1.644466766977621
508,Володарск,Нижегородская область,56.2169751,43.1596417,56.224304,43.182655,1.639635773297236
870,Холмск,Сахалинская область,47.0408423,142.041688,47.0545875,142.0487125,1.618412705932866
750,Томмот,Республика Саха (Якутия),58.9586859,126.2875462,58.968536,126.266853,1.6146371486684383
697,Петрозаводск,Республика Карелия,61.7891264,34.3596434,61.790039,34.390007,1.599226604136753
324,Туапсе,Краснодарский край,44.1105335,39.0824904,44.0984747,39.0718875,1.5857745076345453
171,Ангарск,Иркутская область,52.544879,103.888543,52.5311117,103.8826109,1.582554310112977
952,Светлоград,Ставропольский край,45.328659,42.8565714,45.3406133,42.8459286,1.5681179503852414
872,Алапаевск,Свердловская область,57.8475571,61.6693817,57.850811,61.695,1.5584764917962177
771,Казань,Республика Татарстан,55.7943584,49.1114975,55.7823547,49.1242266,1.5539896375913063
746,Нюрба,Республика Саха (Якутия),63.2828955,118.3242437,63.286648,118.354149,1.5520581678620669
848,Красный Кут,Саратовская область,50.9598317,46.9712016,50.9459056,46.972462,1.5510265343986138
616,Арсеньев,Приморский край,44.1622031,133.2696209,44.1608008,133.2889113,1.546654021666991
201,Балтийск,Калининградская область,54.6513372,19.9140572,54.6437214,19.8941584,1.5349815578166262
275,Кирово-Чепецк,Кировская область,58.5559424,50.0316848,58.5421963,50.0340889,1.5348474675422172
559,Тара,Омская область,56.9160511,74.3649194,56.902587,74.3698652,1.5269507790431074
24,Каргополь,Архангельская область,61.5009724,38.9636966,61.509121,38.940796,1.5155387914133374
54,Дятьково,Брянская область,53.5958178,34.3551812,53.6003804,34.3335523,1.5147398468922726
942,Ипатово,Ставропольский край,45.7181751,42.8970206,45.719723,42.916286,1.5055194769877016
961,Уварово,Тамбовская область,51.9767841,42.2529799,51.989845,42.258396,1.4989232108188366
221,Черняховск,Калининградская область,54.6244751,21.7969062,54.635533,21.8099822,1.4900468491488832
318,Приморско-Ахтарск,Краснодарский край,46.0515432,38.1704875,46.043181,38.1554803,1.485267892284771
552,Тогучин,Новосибирская область,55.2251631,84.4104118,55.23769,84.402458,1.481424966443491
555,Исилькуль,Омская область,54.9096002,71.2816284,54.904892,71.259987,1.4791956869556822
1100,Чебоксары,Чувашская Республика,56.1438298,47.2489782,56.1307195,47.2449597,1.4789078310638
1046,Димитровград,Ульяновская область,54.2167926,49.6262585,54.2188995,49.6038982,1.4725382601234478
1083,Усть-Катав,Челябинская область,54.9260812,58.152805,54.9307169,58.1743686,1.4710237676007378
525,Саров,Нижегородская область,54.9228268,43.3448089,54.934631,43.334606,1.4655324747493945
405,Задонск,Липецкая область,52.4004179,38.9205032,52.387798,38.92672,1.465301533646534
121,Сокол,Вологодская область,59.4758605,40.1114187,59.462799,40.112858,1.4546463294766734
89,Судогда,Владимирская область,55.9498056,40.8562939,55.95650075,40.87630713906415,1.4513945406272786
439,Королев,Московская область,55.9161773,37.8545415,55.9204898,37.8326289,1.4471483307087079
1092,Урус-Мартан,Чеченская Республика,43.120175,45.539276,43.133102,45.538425,1.4390749774675713
30,Новодвинск,Архангельская область,64.4136851,40.8208143,64.419212,40.793793,1.4356683289652736
608,Пермь,Пермский край,58.0102583,56.2342034,58.0230679,56.232803119037456,1.426748152240623
1113,Рыбинск,Ярославская область,58.0485495,38.8584119,58.050373,38.834637,1.4136018166769841
688,Лагань,Республика Калмыкия,45.3930912,47.3432602,45.392059,47.361282,1.411925152006507
861,Корсаков,Сахалинская область,46.6324545,142.799445,46.632815,142.7810147,1.4078092807100824
768,Заинск,Республика Татарстан,55.299053,52.0062972,55.2866509,52.0056047,1.3797473821658974
661,Стерлитамак,Республика Башкортостан,53.6300864,55.9317089,53.632374,55.952259,1.378668360954324
991,Алексин,Тульская область,54.5083349,37.0478067,54.5028103,37.0667213,1.3669804238446133
837,Тольятти,Самарская область,53.5205348,49.3894028,53.51495,49.407574,1.3523744375909004
470,Сергиев Посад,Московская область,56.3062548,38.1502661,56.3153529,38.1358208,1.3480642490838326
361,Курск,Курская область,51.7303637,36.1925603,51.739433,36.179604,1.3464890486728365
637,Порхов,Псковская область,57.7765219,29.5436626,57.765289,29.551878,1.3406899996817936
438,Коломна,Московская область,55.102814,38.7531002,55.0938743,38.7670121,1.3309958050097317
758,Моздок,Республика Северная Осетия – Алания,43.7471342,44.6569607,43.735584,44.653614,1.3121627284017898
931,Сафоново,Смоленская область,55.1199661,33.2336988,55.1084278,33.2376513,1.3073927333462976
343,Минусинск,Красноярский край,53.7104586,91.6872907,53.700325,91.697235,1.3031152679523736
471,Серпухов,Московская область,54.9226466,37.4033859,54.9155247,37.4195533,1.3017952567010045
442,Красногорск,Московская область,55.8317203,37.3295266,55.821744,37.3404142,1.3011533770063148
600,Краснокамск,Пермский край,58.0822065,55.7479936,58.0833042,55.76998972536403,1.2988576703834835
841,Аткарск,Саратовская область,51.8736062,45.0003247,51.882442,45.012573,1.2931409487507135
181,Нижнеудинск,Иркутская область,54.8968931,99.0314056,54.9084881,99.0302862,1.2912899264744329
76,Киржач,Владимирская область,56.1486863,38.8635701,56.1592229,38.8721255,1.2858556395815586
319,Славянск-на-Кубани,Краснодарский край,45.2603626,38.1259774,45.2490605,38.12280565132716,1.2810250964940828
978,Осташков,Тверская область,57.1456744,33.1115372,57.1557583,33.1013213,1.2794298516148654
919,Севастополь,Севастополь,44.6167013,33.525355,44.6054434,33.5220842,1.2783161252117732
39,Камызяк,Астраханская область,46.110579,48.07333,46.120527,48.0815617,1.2752277587546135
326,Хадыженск,Краснодарский край,44.4122963,39.5320258,44.4231032,39.5369484,1.2636721839058176
910,Реж,Свердловская область,57.3717477,61.3833842,57.370647,61.4042865,1.259173628435748
996,Донской,Тульская область,53.9678944,38.3371824,53.965651,38.3183367,1.2577009818186244
322,Тимашевск,Краснодарский край,45.615923,38.9351837,45.6123531,38.9504299,1.2505161146113102
341,Красноярск,Красноярский край,56.0093879,92.8524806,56.0090968,92.8725147,1.2458312326766394
649,Бирск,Республика Башкортостан,55.4155753,55.5582214,55.4206774,55.5407179,1.2418515842537712
223,Белоусово,Калужская область,55.0956803,36.677629,55.089725,36.6613397,1.2299839078027213
1055,Николаевск-на-Амуре,Хабаровский край,53.1460657,140.7111367,53.138729,140.72493,1.2295957918298552
927,Ельня,Смоленская область,54.5837795,33.1749867,54.5764954,33.1891698,1.2212558510736151
1006,Узловая,Тульская область,53.9730452,38.1763201,53.978512,38.160255,1.2137918053370094
790,Саяногорск,Республика Хакасия,53.1008083,91.4122454,53.0899015,91.4128377,1.21342548497261
1041,Ижевск,Удмуртская Республика,56.852738,53.2114896,56.86051745,53.197730742455306,1.203308301625847
423,Дедовск,Московская область,55.8703276,37.1245043,55.8597808,37.1206449,1.197219593799244
818,Михайлов,Рязанская область,54.2297402,39.0091481,54.230217,39.027538,1.1964659392940875
