,place_id,lat,lon,query_city,query_region
179,257192770.0,52.289597,104.280586,Иркутск,Иркутская область
180,114570588.0,57.776356,108.116295,Киренск,Иркутская область
181,259538500.0,54.9084881,99.0302862,Нижнеудинск,Иркутская область
182,156914977.0,54.1123301,102.1785158,Саянск,Иркутская область
183,259252264.0,53.066269,103.342331,Свирск,Иркутская область
184,259104267.0,51.656769,103.719292,Слюдянка,Иркутская область
185,103822614.0,55.9385304,98.0196711,Тайшет,Иркутская область
186,301500219.0,54.562096,100.579216,Тулун,Иркутская область
187,257220626.0,52.7512013,103.6621625,Усолье-Сибирское,Иркутская область
188,258471073.0,57.959473,102.734192,Усть-Илимск,Иркутская область
189,113280112.0,56.780561,105.7489287,Усть-Кут,Иркутская область
190,258378509.0,53.148434,103.070145,Черемхово,Иркутская область
191,798310.0,52.2097478,104.097683,Шелехов,Иркутская область
192,259313373.0,43.6820626,43.5344319,Баксан,Кабардино-Балкарская Республика
193,259637188.0,43.6282481,44.0518741,Майский,Кабардино-Балкарская Республика
194,258897108.0,43.4769604,43.5966578,Нальчик,Кабардино-Балкарская Республика
195,259756015.0,43.5566193,43.8517142,Нарткала,Кабардино-Балкарская Республика
196,258709680.0,43.7590017,44.0103981,Прохладный,Кабардино-Балкарская Республика
197,259147888.0,43.4826692,44.1363776,Терек,Кабардино-Балкарская Республика
198,259672554.0,43.3958986,42.9230751,Тырныауз,Кабардино-Балкарская Республика
199,259467169.0,43.57070415,43.59283554179869,Чегем,Кабардино-Балкарская Республика
200,259263897.0,54.3868191,20.6405124,Багратионовск,Калининградская область
201,309702733.0,54.6437214,19.8941584,Балтийск,Калининградская область
202,257340543.0,54.6478265,21.0719431,Гвардейск,Калининградская область
203,257398744.0,54.7745571,20.6037041,Гурьевск,Калининградская область
204,258647504.0,54.592144,22.2015209,Гусев,Калининградская область
205,309702952.0,54.9600365,20.4750188,Зеленоградск,Калининградская область
206,258247410.0,54.710128,20.5105838,Калининград,Калининградская область
207,258508022.0,54.9417584,22.4913626,Краснознаменск,Калининградская область
208,132779809.0,54.5712666,20.1734409,Ладушкин,Калининградская область
209,106350173.0,54.4636264,19.9414303,Мамоново,Калининградская область
210,258687928.0,55.0359656,22.0293578,Неман,Калининградская область
211,103669012.0,54.6325455,22.5710998,Нестеров,Калининградская область
212,119704238.0,54.408741,22.014359,Озёрск,Калининградская область
213,121730533.0,54.948227,20.22591,Пионерский,Калининградская область
214,235500.0,54.860252,21.107027,Полесск,Калининградская область
215,258860557.0,54.447144,21.01399,Правдинск,Калининградская область
216,,,,Приморск,Калининградская область
217,258889587.0,54.9417552,20.1550863,Светлогорск,Калининградская область
218,258082275.0,54.673355,20.131153,Светлый,Калининградская область
219,105426485.0,55.04549,21.679073,Славск,Калининградская область
220,259085493.0,55.0809688,21.8882673,Советск,Калининградская область
